epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,770.544,2.80986,3.61944,3.51425,0.61879,0.31704,0.34036,0.11708,2.11431,2.28387,2.94028,0.0033298,0.0033298,0.0700318
2,1380.75,1.99071,2.3845,2.62353,0.54227,0.4843,0.55602,0.25489,1.78279,1.83785,2.2981,0.00663015,0.00663015,0.0399988
3,1985,1.60891,1.99302,2.1379,0.65623,0.58128,0.64955,0.33974,1.56582,1.54116,1.99049,0.0098975,0.0098975,0.00993285
4,2670.4,1.41112,1.73052,1.91909,0.72549,0.66923,0.74425,0.47317,1.23157,1.24523,1.66857,0.0098515,0.0098515,0.0098515
5,3298.53,1.28185,1.4976,1.77733,0.77881,0.73698,0.80406,0.5304,1.14182,1.08624,1.56633,0.009802,0.009802,0.009802
6,3977.76,1.20797,1.38183,1.70831,0.81014,0.74802,0.84233,0.61605,0.98,0.94448,1.42936,0.0097525,0.0097525,0.0097525
7,4627.02,1.1481,1.27625,1.63387,0.83509,0.78107,0.87055,0.62857,0.98426,0.87029,1.42052,0.009703,0.009703,0.009703
8,5231.36,1.09968,1.19038,1.59312,0.86096,0.80291,0.89529,0.65586,0.99278,0.81678,1.40122,0.0096535,0.0096535,0.0096535
9,5845.53,1.08107,1.1576,1.57738,0.87577,0.79453,0.88715,0.69233,0.82423,0.79099,1.29433,0.009604,0.009604,0.009604
10,6459.55,1.05615,1.12697,1.55312,0.88347,0.78828,0.89598,0.70405,0.79975,0.74045,1.26918,0.0095545,0.0095545,0.0095545
11,7098.65,1.03565,1.09023,1.52956,0.81197,0.83292,0.89741,0.70975,0.76565,0.74759,1.22059,0.009505,0.009505,0.009505
12,7742.89,1.01702,1.05257,1.51012,0.90538,0.84143,0.92051,0.72603,0.80975,0.67895,1.2505,0.0094555,0.0094555,0.0094555
13,8357.93,1.00164,1.02205,1.49595,0.89901,0.81619,0.90939,0.72411,0.73996,0.69572,1.20828,0.009406,0.009406,0.009406
14,8973.56,0.99071,1.01595,1.49385,0.90043,0.83247,0.91645,0.74568,0.69849,0.66457,1.17714,0.0093565,0.0093565,0.0093565
15,9592.74,0.97429,0.97915,1.46994,0.89221,0.84848,0.92532,0.7548,0.70207,0.64756,1.16965,0.009307,0.009307,0.009307
16,10207.3,0.95941,0.96177,1.46048,0.9084,0.86275,0.93203,0.74994,0.74671,0.62329,1.19385,0.0092575,0.0092575,0.0092575
17,10824.1,0.95009,0.94891,1.44509,0.9075,0.83907,0.92691,0.76271,0.69732,0.61066,1.16206,0.009208,0.009208,0.009208
18,11439.8,0.94264,0.94184,1.44364,0.89083,0.85303,0.92972,0.77365,0.64948,0.61242,1.14113,0.0091585,0.0091585,0.0091585
19,12054.7,0.92603,0.91638,1.4363,0.89492,0.82033,0.91251,0.74725,0.70131,0.64289,1.1669,0.009109,0.009109,0.009109
20,12670.6,0.91419,0.89326,1.42456,0.92692,0.81286,0.92603,0.77407,0.65582,0.5861,1.1289,0.0090595,0.0090595,0.0090595
21,13293.6,0.92053,0.89354,1.42551,0.89146,0.84752,0.92356,0.77957,0.62951,0.59691,1.11346,0.00901,0.00901,0.00901
22,14186.9,0.90655,0.86586,1.41172,0.9101,0.83938,0.92759,0.77158,0.67192,0.5716,1.14578,0.0089605,0.0089605,0.0089605
23,15116.3,0.90159,0.86544,1.40783,0.8958,0.85635,0.93086,0.77711,0.65439,0.58078,1.12862,0.008911,0.008911,0.008911
24,15716.7,0.89843,0.85857,1.40831,0.93535,0.83767,0.93533,0.78554,0.62546,0.56676,1.11168,0.0088615,0.0088615,0.0088615
25,16325.1,0.8938,0.84581,1.39998,0.93768,0.83909,0.93709,0.78152,0.63941,0.55337,1.11563,0.008812,0.008812,0.008812
26,16920.6,0.88908,0.83995,1.39499,0.8785,0.85016,0.91948,0.77588,0.61425,0.57908,1.10315,0.0087625,0.0087625,0.0087625
27,17675.8,0.87437,0.83381,1.38045,0.89493,0.87472,0.93841,0.80155,0.5924,0.54598,1.08687,0.008713,0.008713,0.008713
28,18297.8,0.87837,0.81314,1.38434,0.91728,0.84456,0.92965,0.80027,0.58863,0.56526,1.08844,0.0086635,0.0086635,0.0086635
29,18898.4,0.86433,0.80459,1.37029,0.91972,0.85688,0.93577,0.79625,0.60081,0.53838,1.08849,0.008614,0.008614,0.008614
30,19511,0.86015,0.79645,1.3627,0.91812,0.85826,0.9343,0.79592,0.59471,0.56206,1.08195,0.0085645,0.0085645,0.0085645
31,20114.4,0.86642,0.79975,1.36966,0.91986,0.86671,0.93905,0.79908,0.59963,0.53948,1.07431,0.008515,0.008515,0.008515
32,20722.7,0.852,0.78797,1.35279,0.90495,0.86857,0.93337,0.79398,0.59619,0.54044,1.07937,0.0084655,0.0084655,0.0084655
33,21328.3,0.84916,0.78472,1.35547,0.92723,0.87416,0.94309,0.8167,0.55476,0.50433,1.05752,0.008416,0.008416,0.008416
34,22071.5,0.85459,0.78301,1.35529,0.92074,0.88224,0.93863,0.80895,0.57055,0.5188,1.05803,0.0083665,0.0083665,0.0083665
35,22660.4,0.84809,0.77211,1.35398,0.91711,0.85757,0.93728,0.80577,0.58337,0.50873,1.0707,0.008317,0.008317,0.008317
36,23253.3,0.84759,0.77052,1.35079,0.93614,0.85606,0.94364,0.82012,0.56026,0.49455,1.0579,0.0082675,0.0082675,0.0082675
37,23869.3,0.83485,0.7511,1.34193,0.91738,0.883,0.94453,0.82223,0.55241,0.49448,1.05175,0.008218,0.008218,0.008218
38,24471.2,0.84146,0.76056,1.34433,0.91634,0.858,0.93863,0.81617,0.55032,0.5156,1.04177,0.0081685,0.0081685,0.0081685
39,25082.8,0.83483,0.75016,1.33766,0.92204,0.87878,0.94396,0.82935,0.5325,0.47736,1.03655,0.008119,0.008119,0.008119
40,25695.7,0.83207,0.74446,1.33381,0.90911,0.88409,0.94543,0.82375,0.54889,0.49325,1.04572,0.0080695,0.0080695,0.0080695
41,26306.3,0.8287,0.74092,1.32977,0.93081,0.84759,0.94272,0.82057,0.53785,0.4923,1.03857,0.00802,0.00802,0.00802
42,26917.3,0.82539,0.73289,1.33019,0.93853,0.86786,0.94179,0.82529,0.53022,0.47708,1.03002,0.0079705,0.0079705,0.0079705
43,27529.6,0.8204,0.73465,1.32546,0.92701,0.89347,0.94999,0.83535,0.53802,0.47421,1.0402,0.007921,0.007921,0.007921
44,28142.4,0.82148,0.73504,1.32165,0.92548,0.89427,0.9491,0.82479,0.53904,0.47431,1.03134,0.0078715,0.0078715,0.0078715
45,28762.3,0.81089,0.72427,1.31221,0.94157,0.85863,0.94917,0.8305,0.54389,0.47118,1.037,0.007822,0.007822,0.007822
46,29378.2,0.81519,0.71959,1.31946,0.93817,0.87478,0.94727,0.83379,0.52168,0.46883,1.02784,0.0077725,0.0077725,0.0077725
47,29997.5,0.80727,0.70575,1.31341,0.93908,0.87186,0.94424,0.82547,0.51747,0.46092,1.02826,0.007723,0.007723,0.007723
48,30612.8,0.81131,0.71386,1.31717,0.92474,0.89405,0.95174,0.84042,0.51709,0.45676,1.02702,0.0076735,0.0076735,0.0076735
49,31228.7,0.81286,0.716,1.31459,0.92434,0.87074,0.94138,0.83513,0.51443,0.46827,1.01159,0.007624,0.007624,0.007624
50,31834.4,0.80695,0.70595,1.31031,0.93894,0.86441,0.94902,0.83879,0.51009,0.46428,1.01528,0.0075745,0.0075745,0.0075745
51,32435.2,0.80353,0.6961,1.30722,0.94067,0.88406,0.9506,0.83134,0.53416,0.45656,1.02291,0.007525,0.007525,0.007525
52,33025.5,0.80292,0.69787,1.30605,0.92408,0.8862,0.94907,0.83658,0.5176,0.45805,1.02024,0.0074755,0.0074755,0.0074755
