epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
1,2.79182,3.79238,3.51777,1.99139,2.35765,2.80971,0.29233,0.3608,0.28081,0.11808,0.0033298,0.0033298,0.0700318
2,1.93257,2.45089,2.55833,1.74931,1.95276,2.29651,0.45517,0.48235,0.47687,0.22118,0.0065312,0.0065312,0.0398999
3,1.58628,2.06332,2.09817,1.53592,1.79191,2.00928,0.58015,0.52849,0.58946,0.31315,0.00960061,0.00960061,0.00963595
4,1.40756,1.81674,1.8981,1.10837,1.3725,1.57095,0.64821,0.63586,0.67239,0.44139,0.009406,0.009406,0.009406
5,1.27521,1.57865,1.75583,1.02467,1.0954,1.48892,0.78445,0.68389,0.77874,0.54204,0.009208,0.009208,0.009208
6,1.19944,1.44309,1.68025,0.97167,1.01867,1.41052,0.81457,0.68551,0.80782,0.5808,0.00901,0.00901,0.00901
7,1.13777,1.31393,1.6069,0.91494,0.91401,1.36714,0.82116,0.77505,0.84697,0.63009,0.008812,0.008812,0.008812
8,1.0903,1.22099,1.56606,0.8959,0.79257,1.32374,0.85037,0.80323,0.87697,0.6656,0.008614,0.008614,0.008614
9,1.07005,1.17414,1.54564,0.86028,0.78639,1.2792,0.87632,0.80622,0.8946,0.68217,0.008416,0.008416,0.008416
10,1.04695,1.12646,1.52226,0.81095,0.73082,1.24874,0.86075,0.81554,0.89424,0.69912,0.008218,0.008218,0.008218
11,1.02384,1.09225,1.49759,0.72026,0.70397,1.17828,0.8552,0.81587,0.90216,0.72967,0.00802,0.00802,0.00802
12,1.00618,1.0445,1.47666,0.76028,0.6856,1.18259,0.90892,0.79945,0.91029,0.72593,0.007822,0.007822,0.007822
13,0.98808,1.0116,1.46081,0.68124,0.6866,1.14207,0.87594,0.82181,0.90355,0.74187,0.007624,0.007624,0.007624
