epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,761.204,2.71467,3.79133,3.45587,0.32162,0.30771,0.28689,0.11381,2.0576,2.48725,2.828,0.0033298,0.0033298,0.0700318
2,1369.69,1.90364,2.44771,2.52531,0.53541,0.51462,0.48859,0.23686,1.7101,2.06362,2.26937,0.00663015,0.00663015,0.0399988
3,2037.41,1.55654,2.05735,2.06658,0.56311,0.57223,0.59929,0.33272,1.47405,1.64162,1.95347,0.0098975,0.0098975,0.00993285
4,2652.74,1.38429,1.79881,1.86736,0.64607,0.68582,0.71133,0.47792,1.08651,1.29519,1.53655,0.0098515,0.0098515,0.0098515
5,3263.88,1.26403,1.57302,1.7329,0.76036,0.70409,0.77136,0.53249,1.02805,1.10229,1.47153,0.009802,0.009802,0.009802
6,4139.98,1.18961,1.42292,1.65957,0.75159,0.76127,0.81714,0.60355,0.89752,0.96558,1.35301,0.0097525,0.0097525,0.0097525
7,4808.56,1.13343,1.3098,1.58913,0.80935,0.77544,0.84281,0.64735,0.82932,0.87445,1.30598,0.009703,0.009703,0.009703
8,5436.58,1.08746,1.209,1.55414,0.8305,0.80976,0.87667,0.65615,0.92258,0.81622,1.33114,0.0096535,0.0096535,0.0096535
9,6062.78,1.06892,1.17579,1.53321,0.86505,0.83479,0.89171,0.69248,0.81349,0.751,1.2554,0.009604,0.009604,0.009604
10,6683.27,1.04321,1.12598,1.50873,0.88998,0.79792,0.88862,0.72329,0.70932,0.73952,1.1775,0.0095545,0.0095545,0.0095545
11,7295.81,1.02247,1.08851,1.48446,0.84906,0.803,0.88185,0.69719,0.76787,0.71799,1.21117,0.009505,0.009505,0.009505
12,7907.45,0.99971,1.04671,1.46504,0.87712,0.84319,0.90712,0.72759,0.72676,0.6819,1.15948,0.0094555,0.0094555,0.0094555
13,8518.53,0.98702,1.01869,1.44812,0.87015,0.82728,0.89299,0.72799,0.68183,0.68768,1.13466,0.009406,0.009406,0.009406
14,9130.4,0.9767,1.00476,1.44716,0.90468,0.84273,0.91326,0.73715,0.72186,0.65455,1.16313,0.0093565,0.0093565,0.0093565
15,9742.79,0.96151,0.96721,1.43149,0.89035,0.81812,0.91127,0.73585,0.72834,0.64896,1.15365,0.009307,0.009307,0.009307
16,10354.2,0.94604,0.95493,1.41835,0.88985,0.84858,0.91874,0.7459,0.70053,0.62577,1.13234,0.0092575,0.0092575,0.0092575
17,10971.1,0.93195,0.94395,1.40118,0.90092,0.8479,0.92825,0.7803,0.61032,0.5891,1.0866,0.009208,0.009208,0.009208
18,11584.7,0.92746,0.93365,1.39833,0.90472,0.82946,0.91688,0.76284,0.63248,0.61629,1.09692,0.0091585,0.0091585,0.0091585
19,12195.9,0.91146,0.90287,1.3918,0.90513,0.84769,0.92563,0.78185,0.6328,0.57246,1.0916,0.009109,0.009109,0.009109
20,12808.4,0.90139,0.88585,1.38095,0.90089,0.85112,0.92769,0.78419,0.63336,0.54881,1.08071,0.0090595,0.0090595,0.0090595
21,13419.6,0.90951,0.89002,1.38137,0.90147,0.86565,0.92745,0.76098,0.68011,0.57977,1.10621,0.00901,0.00901,0.00901
22,14031.3,0.89381,0.85834,1.36432,0.91721,0.84649,0.9309,0.79269,0.58619,0.53719,1.05732,0.0089605,0.0089605,0.0089605
23,14643,0.88897,0.85071,1.36103,0.90277,0.85028,0.92199,0.77439,0.63297,0.56617,1.08273,0.008911,0.008911,0.008911
24,15254.4,0.88222,0.84471,1.36116,0.9121,0.85389,0.93267,0.78827,0.59701,0.55605,1.0692,0.0088615,0.0088615,0.0088615
25,15864.6,0.8812,0.83489,1.35603,0.9221,0.85898,0.93443,0.80698,0.54699,0.52526,1.03396,0.008812,0.008812,0.008812
26,16475.8,0.87729,0.82233,1.35089,0.91789,0.87391,0.93876,0.80249,0.59292,0.52749,1.05302,0.0087625,0.0087625,0.0087625
27,17087,0.86178,0.81215,1.33665,0.92872,0.84548,0.93263,0.80758,0.55819,0.52084,1.03695,0.008713,0.008713,0.008713
28,17699.6,0.86457,0.80282,1.34259,0.91274,0.87614,0.939,0.81013,0.56998,0.51622,1.05279,0.0086635,0.0086635,0.0086635
29,18311.3,0.84868,0.78783,1.32512,0.89316,0.88871,0.93791,0.8071,0.57777,0.50526,1.04194,0.008614,0.008614,0.008614
30,18922.3,0.84943,0.78575,1.32518,0.91439,0.88486,0.94421,0.81185,0.57885,0.49571,1.03902,0.0085645,0.0085645,0.0085645
31,19538,0.856,0.78376,1.3331,0.92038,0.8562,0.93046,0.8005,0.58071,0.53536,1.04292,0.008515,0.008515,0.008515
32,20149.3,0.83879,0.77729,1.31303,0.90711,0.86874,0.9441,0.82261,0.54686,0.49112,1.0228,0.0084655,0.0084655,0.0084655
33,20760.1,0.83698,0.76844,1.31529,0.93546,0.8629,0.94157,0.8235,0.53137,0.48123,1.01654,0.008416,0.008416,0.008416
34,21372.8,0.83951,0.76508,1.31515,0.92236,0.86461,0.94144,0.81945,0.53649,0.4852,1.01471,0.0083665,0.0083665,0.0083665
35,21985.1,0.83161,0.76417,1.31047,0.92263,0.86378,0.93634,0.8277,0.51871,0.48525,1.01614,0.008317,0.008317,0.008317
36,22596.8,0.83805,0.75563,1.31006,0.94173,0.8701,0.94367,0.83585,0.51395,0.46468,0.99752,0.0082675,0.0082675,0.0082675
37,23204.2,0.82244,0.73585,1.29941,0.92917,0.88443,0.94949,0.82001,0.57929,0.46933,1.02356,0.008218,0.008218,0.008218
38,23810.3,0.82514,0.74586,1.29875,0.9461,0.85001,0.93898,0.82517,0.53298,0.48739,1.0077,0.0081685,0.0081685,0.0081685
39,24416.2,0.81857,0.73384,1.29653,0.91718,0.88048,0.94392,0.83761,0.50479,0.4492,0.98923,0.008119,0.008119,0.008119
40,25023.1,0.81951,0.72907,1.29451,0.9313,0.88326,0.94533,0.83755,0.50038,0.4698,0.99334,0.0080695,0.0080695,0.0080695
41,25628.8,0.8123,0.72645,1.29155,0.92277,0.86935,0.94075,0.838,0.50078,0.45945,1.00047,0.00802,0.00802,0.00802
42,26228.4,0.81604,0.71761,1.29365,0.93999,0.86166,0.93829,0.82838,0.51808,0.45751,0.99682,0.0079705,0.0079705,0.0079705
43,26828.6,0.8071,0.72044,1.28452,0.92987,0.8776,0.94738,0.84248,0.50125,0.43952,0.99037,0.007921,0.007921,0.007921
44,27429,0.81063,0.71624,1.28446,0.92658,0.89039,0.94667,0.84608,0.48789,0.45149,0.98988,0.0078715,0.0078715,0.0078715
45,28030,0.80055,0.7053,1.27338,0.9391,0.89006,0.94917,0.8486,0.50103,0.43666,0.9873,0.007822,0.007822,0.007822
46,28643.4,0.80304,0.69582,1.2784,0.95766,0.87467,0.95356,0.85774,0.46524,0.41861,0.97287,0.0077725,0.0077725,0.0077725
47,29273.8,0.79706,0.68449,1.27327,0.93997,0.87356,0.94433,0.84421,0.47564,0.43027,0.98079,0.007723,0.007723,0.007723
48,29878.8,0.80183,0.69658,1.2788,0.95425,0.88504,0.95144,0.85388,0.4775,0.4156,0.97739,0.0076735,0.0076735,0.0076735
49,30481.5,0.80594,0.70458,1.28213,0.94434,0.87059,0.94696,0.84928,0.48071,0.42382,0.97534,0.007624,0.007624,0.007624
50,31085.5,0.79629,0.69074,1.2764,0.9311,0.87574,0.94507,0.84502,0.47692,0.4338,0.98325,0.0075745,0.0075745,0.0075745
51,31688.9,0.79232,0.68226,1.27326,0.93865,0.88414,0.94685,0.84396,0.47941,0.41922,0.98518,0.007525,0.007525,0.007525
52,32299.2,0.79804,0.68229,1.26977,0.95484,0.86649,0.94422,0.84885,0.47054,0.41517,0.97958,0.0074755,0.0074755,0.0074755
53,32903.5,0.79689,0.69178,1.26949,0.95332,0.87733,0.95032,0.85236,0.4706,0.42484,0.97246,0.007426,0.007426,0.007426
54,33506.5,0.78715,0.67264,1.26602,0.94117,0.88029,0.9497,0.85507,0.46028,0.4162,0.97086,0.0073765,0.0073765,0.0073765
55,34111.6,0.78687,0.68247,1.26342,0.92036,0.89758,0.95332,0.85686,0.46656,0.42402,0.97836,0.007327,0.007327,0.007327
56,34716.2,0.77819,0.67141,1.25978,0.93016,0.89473,0.95182,0.85728,0.46058,0.40994,0.96849,0.0072775,0.0072775,0.0072775
57,35321.1,0.78033,0.67141,1.26248,0.92649,0.89574,0.95146,0.86254,0.45302,0.40435,0.96866,0.007228,0.007228,0.007228
58,35925.7,0.77784,0.66491,1.25831,0.95234,0.88191,0.95006,0.85763,0.45052,0.40974,0.96286,0.0071785,0.0071785,0.0071785
59,36529.2,0.77736,0.6616,1.2558,0.91684,0.89216,0.94738,0.85735,0.45096,0.42457,0.96655,0.007129,0.007129,0.007129
60,37134.9,0.77544,0.65364,1.25586,0.93543,0.88182,0.94611,0.85605,0.45801,0.40688,0.96796,0.0070795,0.0070795,0.0070795
61,37739.1,0.77048,0.64886,1.2538,0.93506,0.89138,0.94967,0.86082,0.45243,0.41073,0.96972,0.00703,0.00703,0.00703
62,38344.5,0.77265,0.65051,1.25393,0.94553,0.86313,0.94552,0.85731,0.45137,0.41087,0.96812,0.0069805,0.0069805,0.0069805
63,38951.2,0.76664,0.64302,1.24982,0.93679,0.88369,0.95101,0.8627,0.45103,0.39882,0.96275,0.006931,0.006931,0.006931
64,39552.6,0.77817,0.65296,1.25517,0.92261,0.90369,0.95083,0.86411,0.44586,0.39462,0.96475,0.0068815,0.0068815,0.0068815
65,40155.3,0.76667,0.64211,1.24465,0.94943,0.88488,0.95064,0.86876,0.4403,0.39677,0.95786,0.006832,0.006832,0.006832
66,40761.8,0.7637,0.63579,1.24141,0.94019,0.89019,0.95221,0.8667,0.44283,0.40555,0.95739,0.0067825,0.0067825,0.0067825
67,41364,0.75756,0.62826,1.23686,0.92668,0.90451,0.95144,0.86756,0.43645,0.39677,0.95519,0.006733,0.006733,0.006733
68,41966.2,0.75783,0.63302,1.23962,0.93132,0.89848,0.95335,0.87038,0.43503,0.38933,0.95427,0.0066835,0.0066835,0.0066835
69,42566.7,0.76114,0.62293,1.23855,0.94068,0.89287,0.95201,0.86902,0.4413,0.38848,0.96265,0.006634,0.006634,0.006634
70,43168.3,0.75198,0.62731,1.23742,0.94019,0.89156,0.9514,0.87254,0.43674,0.39067,0.95789,0.0065845,0.0065845,0.0065845
71,43773.5,0.75761,0.62705,1.23551,0.94409,0.88769,0.95656,0.87322,0.43317,0.38894,0.9511,0.006535,0.006535,0.006535
72,44375.4,0.7511,0.61823,1.2361,0.94825,0.88577,0.95281,0.86686,0.43952,0.39484,0.94992,0.0064855,0.0064855,0.0064855
73,44991.5,0.75261,0.6272,1.23342,0.93509,0.89618,0.95619,0.87492,0.42564,0.37649,0.94836,0.006436,0.006436,0.006436
74,45621.6,0.75911,0.61901,1.23424,0.94185,0.88807,0.9537,0.87211,0.42781,0.38454,0.94944,0.0063865,0.0063865,0.0063865
75,46371.2,0.74506,0.61537,1.22905,0.9497,0.88106,0.95321,0.87246,0.42976,0.38808,0.95226,0.006337,0.006337,0.006337
76,47066.2,0.75076,0.61883,1.23167,0.93984,0.88699,0.94932,0.87094,0.4273,0.39375,0.95116,0.0062875,0.0062875,0.0062875
77,47663.7,0.74752,0.6084,1.23611,0.94299,0.90517,0.95398,0.87514,0.42749,0.37993,0.95008,0.006238,0.006238,0.006238
78,48273.9,0.74292,0.60468,1.22931,0.94924,0.88504,0.95314,0.87605,0.42571,0.38421,0.94739,0.0061885,0.0061885,0.0061885
79,856.006,0.73516,0.59464,1.22198,0.93831,0.8917,0.9503,0.87318,0.4194,0.38054,0.94258,0.006139,0.006139,0.006139
80,1525.82,0.73824,0.59625,1.22145,0.95196,0.88129,0.94926,0.87468,0.42221,0.38362,0.94669,0.0060895,0.0060895,0.0060895
81,2123.94,0.74236,0.61072,1.22447,0.95158,0.88247,0.952,0.87318,0.42467,0.38004,0.94145,0.00604,0.00604,0.00604
82,2726.87,0.74182,0.60456,1.22259,0.92665,0.90595,0.95161,0.87399,0.41962,0.37485,0.94498,0.0059905,0.0059905,0.0059905
83,3322.62,0.73389,0.59205,1.21836,0.94694,0.89407,0.95333,0.87762,0.41954,0.37399,0.94534,0.005941,0.005941,0.005941
84,3927.69,0.73701,0.60274,1.22333,0.96165,0.88523,0.95452,0.87802,0.42022,0.37319,0.94683,0.0058915,0.0058915,0.0058915
85,4538.87,0.73544,0.59004,1.21865,0.95554,0.88245,0.95343,0.8787,0.41655,0.36661,0.94163,0.005842,0.005842,0.005842
86,5133.39,0.72331,0.58174,1.21077,0.94854,0.89335,0.9533,0.87643,0.42452,0.36766,0.94571,0.0057925,0.0057925,0.0057925
87,5726.19,0.73125,0.58099,1.21673,0.94572,0.88959,0.95492,0.87927,0.41605,0.36295,0.9384,0.005743,0.005743,0.005743
88,6318.92,0.72152,0.5818,1.20907,0.94814,0.88161,0.95476,0.87962,0.41584,0.3654,0.93824,0.0056935,0.0056935,0.0056935
89,6928.97,0.72341,0.58567,1.21137,0.95621,0.87429,0.95183,0.87792,0.4178,0.37418,0.94218,0.005644,0.005644,0.005644
90,7542.94,0.71878,0.57853,1.21095,0.94676,0.88628,0.95721,0.88134,0.41973,0.36433,0.94103,0.0055945,0.0055945,0.0055945
91,8142.53,0.72379,0.56942,1.21072,0.93985,0.89548,0.9553,0.87859,0.41389,0.36934,0.93786,0.005545,0.005545,0.005545
92,8854.91,0.72255,0.57608,1.20986,0.95667,0.88457,0.95388,0.88204,0.41706,0.36639,0.94349,0.0054955,0.0054955,0.0054955
93,741.975,0.6847,0.53345,1.18516,0.94347,0.88908,0.95419,0.88219,0.41208,0.36763,0.94224,0.005446,0.005446,0.005446
94,1368.72,0.68545,0.53605,1.18354,0.95962,0.88824,0.95545,0.88292,0.41512,0.36877,0.93948,0.0053965,0.0053965,0.0053965
95,1994.9,0.68867,0.54533,1.1852,0.93375,0.90425,0.95631,0.88323,0.4154,0.37078,0.93939,0.005347,0.005347,0.005347
96,2624.73,0.68619,0.53932,1.18269,0.94514,0.9089,0.95647,0.88385,0.41154,0.3706,0.93847,0.0052975,0.0052975,0.0052975
97,3265.16,0.67756,0.52475,1.17671,0.94242,0.89346,0.95272,0.87897,0.4123,0.36794,0.9446,0.005248,0.005248,0.005248
98,3908.48,0.68603,0.53491,1.18511,0.95666,0.88706,0.95254,0.88246,0.40659,0.35983,0.94004,0.0051985,0.0051985,0.0051985
99,4551.76,0.68267,0.5283,1.17871,0.94848,0.89349,0.95347,0.88123,0.40648,0.35937,0.93884,0.005149,0.005149,0.005149
100,5178.58,0.6776,0.52117,1.17627,0.94793,0.89176,0.95468,0.88253,0.41041,0.3621,0.94028,0.0050995,0.0050995,0.0050995
101,5792.6,0.6796,0.52195,1.18003,0.94935,0.88409,0.95355,0.88212,0.40686,0.36683,0.93465,0.00505,0.00505,0.00505
102,6405.42,0.67108,0.52721,1.17142,0.9407,0.89821,0.95241,0.88065,0.40805,0.37233,0.93625,0.0050005,0.0050005,0.0050005
103,7018.19,0.67482,0.52414,1.17408,0.95177,0.88588,0.95217,0.88247,0.41158,0.37222,0.94578,0.004951,0.004951,0.004951
104,7630.27,0.67271,0.52268,1.17327,0.94977,0.88664,0.95581,0.88584,0.40988,0.36167,0.94294,0.0049015,0.0049015,0.0049015
105,8242.15,0.67861,0.51558,1.1786,0.94219,0.90071,0.95661,0.88697,0.40646,0.36391,0.93813,0.004852,0.004852,0.004852
106,8854.87,0.6907,0.5364,1.18796,0.95342,0.88423,0.95345,0.88473,0.4054,0.36877,0.93685,0.0048025,0.0048025,0.0048025
107,9468.74,0.70058,0.55105,1.1918,0.95427,0.88525,0.95329,0.8841,0.40364,0.36952,0.93352,0.004753,0.004753,0.004753
108,10082.4,0.69834,0.54951,1.19322,0.94795,0.88285,0.95195,0.88419,0.40446,0.37385,0.93414,0.0047035,0.0047035,0.0047035
109,10695.7,0.69452,0.55379,1.18921,0.93866,0.89644,0.95153,0.88358,0.39974,0.3762,0.93063,0.004654,0.004654,0.004654
110,11316.1,0.69241,0.55429,1.19032,0.94504,0.89474,0.95486,0.88797,0.39544,0.36962,0.93037,0.0046045,0.0046045,0.0046045
111,11985.4,0.68575,0.54257,1.18663,0.95087,0.88734,0.95295,0.88579,0.40069,0.36835,0.9349,0.004555,0.004555,0.004555
112,12601.7,0.67834,0.53379,1.18369,0.94521,0.89145,0.95384,0.88619,0.40347,0.36755,0.93384,0.0045055,0.0045055,0.0045055
113,13215.9,0.67593,0.54285,1.18034,0.94577,0.89388,0.95334,0.88497,0.40981,0.36773,0.93695,0.004456,0.004456,0.004456
114,13829.2,0.66465,0.53721,1.17388,0.9473,0.893,0.9552,0.88705,0.40475,0.36799,0.93462,0.0044065,0.0044065,0.0044065
115,14450.2,0.65289,0.52979,1.17,0.95253,0.89127,0.95624,0.88679,0.40317,0.3625,0.93773,0.004357,0.004357,0.004357
116,15062.2,0.64583,0.52732,1.16797,0.94802,0.89824,0.95584,0.88651,0.40227,0.35977,0.93791,0.0043075,0.0043075,0.0043075
117,15675.3,0.64468,0.52753,1.1677,0.95633,0.8986,0.95602,0.88691,0.40003,0.36251,0.93563,0.004258,0.004258,0.004258
118,16287.1,0.64039,0.52342,1.16013,0.95249,0.89918,0.95635,0.88808,0.39744,0.36334,0.93304,0.0042085,0.0042085,0.0042085
119,16899.5,0.62603,0.51764,1.15131,0.95004,0.89599,0.95514,0.88868,0.39534,0.36639,0.93129,0.004159,0.004159,0.004159
120,17519.8,0.63007,0.51307,1.15684,0.95146,0.89092,0.95386,0.88776,0.39746,0.36886,0.93347,0.0041095,0.0041095,0.0041095
121,18151.8,0.61915,0.50503,1.14736,0.94535,0.89621,0.95329,0.88827,0.39607,0.36506,0.93451,0.00406,0.00406,0.00406
122,18766.6,0.61934,0.50782,1.14465,0.94919,0.89823,0.95433,0.88904,0.39672,0.36254,0.93778,0.0040105,0.0040105,0.0040105
123,19477.8,0.62048,0.51476,1.14846,0.9467,0.89753,0.95412,0.88819,0.39517,0.36102,0.93764,0.003961,0.003961,0.003961
124,20062.7,0.61307,0.50768,1.14077,0.95163,0.89573,0.95448,0.88794,0.39523,0.35935,0.93795,0.0039115,0.0039115,0.0039115
125,20647,0.60672,0.50349,1.13889,0.94166,0.9052,0.95562,0.88764,0.39402,0.35882,0.93714,0.003862,0.003862,0.003862
126,21230.3,0.61571,0.50818,1.14535,0.94399,0.90012,0.95574,0.88862,0.39369,0.35869,0.93786,0.0038125,0.0038125,0.0038125
127,700.911,0.57701,0.4628,1.1204,0.94643,0.89658,0.95588,0.88767,0.39399,0.36032,0.93716,0.003763,0.003763,0.003763
128,1288.18,0.57808,0.46413,1.11904,0.94467,0.90027,0.95573,0.88787,0.39204,0.36088,0.93555,0.0037135,0.0037135,0.0037135
129,1873.71,0.5847,0.47552,1.12335,0.9367,0.90431,0.95519,0.88757,0.39216,0.361,0.93441,0.003664,0.003664,0.003664
